CODIGO,PRODUCTO,CATEGORIA
959523,Krynex Adblue 10LT,Adblue
959522,Krynex Adblue 1LT,Adblue
965317,Krynex A. Desmineralizada 1LT,Aguas
966955,Krynex Agua Verde 6X1L,Aguas
966956,Krynex Lim Parabrisas 4X3.785L,Aguas
100512,Bidón 10 LT (amarillo o rojo),Bidones
100513,Bidón 20 LT (amarillo o rojo),Bidones
958997,"Hydraulic S1 M 68 18,9L",Hidraulicos
966475,"Krynex DOT4 Brake F 12X0,350L",Líquido de frenos
959586,Helix HX3 40 SLCF 3X4LT,Motores de vehículos livianos
965175,Helix HX3 40 SLCF 6X1LT,Motores de vehículos livianos
965089,Helix HX5 SN 10W40 3X4L,Motores de vehículos livianos
965172,Helix HX5 SN 10W40 6X1L,Motores de vehículos livianos
959532,Helix HX7 SP 10W40 3X4LT,Motores de vehículos livianos
965170,Helix HX7 SP 10W40 6X1LT,Motores de vehículos livianos
959582,Helix HX8 Pro AG 5W30 3X4L,Motores de vehículos livianos
965173,Helix HX8 Pro AG 5W30 6X1L,Motores de vehículos livianos
959526,Helix Ultra 5W40 3X4LT,Motores de vehículos livianos
965174,Helix Ultra 5W40 6X1LT,Motores de vehículos livianos
959519,Helix Ultra Pro AG 5W30 3X4L,Motores de vehículos livianos
965178,Helix Ultra Pro AG 5W30 6X1L,Motores de vehículos livianos
966879,Rimula R3 MV 15W40 CI4 3X4LT,Motores de vehículos pesados
964763,Rimula R3 MV 15W40 CI4 20L,Motores de vehículos pesados
959430,Rimula R4 X 15W-40 20L,Motores de vehículos pesados
959429,Rimula R4 X 15W-40 3X4L,Motores de vehículos pesados
965355,Rimula R4 X 15W40 6X1L,Motores de vehículos pesados
959775,Rimula R5 LE 10W-30 3X4L,Motores de vehículos pesados
965152,Krynex K2 Extra 50% 4X3.785L,Refrigerantes y anticongelantes
965151,Krynex K2 Extra 50% 6X1L,Refrigerantes y anticongelantes
958959,Spirax S2 A 80W-90,Transmisiones y diferenciales
965335,Spirax S2 A 80W-90 6X1L,Transmisiones y diferenciales
958960,Spirax S2 ATF D2 3x4L,Transmisiones y diferenciales
965359,Spirax S2 ATF D2 6X1L,Transmisiones y diferenciales
